Area;X;Y;Polygon-Nr;Year
0.456;2805;1052;1;2023
0.221;2817;1328;2;2022
0.189;2829;1584;3;2021
0.156;2837;1756;4;2020
0.271;2845;2096;5;2019
0.363;2865;2480;6;2018
0.245;2865;2696;7;2017
0.091;2873;2824;8;2016
0.092;2881;2936;9;2015
0.169;2893;3100;10;2014
0.170;2897;3284;11;2013
0.148;2909;3644;12;2012
0.236;2921;3860;13;2011
0.353;2945;4192;14;2010
0.183;2953;4568;15;2009
0.189;2969;4808;16;2008
0.325;2977;5148;17;2007
0.175;2981;5376;18;2006
0.233;3009;5852;19;2005
0.178;3013;6084;20;2004
0.257;3021;6352;21;2003
0.301;3037;6716;22;2002
0.398;3057;7180;23;2001
0.402;3069;7624;24;2000
0.232;3421;7692;25;1999
0.130;3581;7732;26;1998
