Area;X;Y;Polygon-Nr;Year
0.234;2020;945;1;2023
0.173;2018;1089;2;2022
0.182;2028;1265;3;2021
0.189;2024;1455;4;2020
0.156;2028;1607;5;2019
0.114;2030;1735;6;2018
0.289;2030;2019;7;2017
0.135;2036;2171;8;2016
0.292;2034;2323;9;2015
0.137;2036;2465;10;2014
0.105;2036;2561;11;2013
0.201;2040;2797;12;2012
0.276;2036;3023;13;2011
0.153;2040;3153;14;2010
0.218;2040;3453;15;2009
0.198;2046;3655;16;2008
0.122;2050;3787;17;2007
0.147;2052;3955;18;2006
0.126;2054;4091;19;2005
0.162;2054;4217;20;2004
0.126;2058;4335;21;2003
0.223;2058;4589;22;2002
0.904;2068;5517;23;2001
0.856;2074;6297;24;2000
0.703;2084;7093;25;1999
