 ,Area,Mean,StdDev,Mode,X,Y,Polygon-Nr
1,1.016E-6,0,0,0,2020,945,1
2,1.016E-6,0,0,0,2018,1089,2
3,1.016E-6,0,0,0,2028,1265,3
4,1.016E-6,0,0,0,2024,1455,4
5,1.016E-6,0,0,0,2028,1607,5
6,1.016E-6,0,0,0,2030,1735,6
7,0.289,0,0,0,2030,2019,7
8,0.135,0,0,0,2036,2171,8
9,1.016E-6,0,0,0,2034,2323,9
10,1.016E-6,0,0,0,2036,2465,10
11,0.105,0,0,0,2036,2561,11
12,0.201,0,0,0,2040,2797,12
13,0.276,0,0,0,2036,3023,13
14,1.016E-6,0,0,0,2040,3153,14
15,1.016E-6,0,0,0,2040,3453,15
16,1.016E-6,0,0,0,2046,3655,16
17,1.016E-6,0,0,0,2050,3787,17
18,1.016E-6,0,0,0,2052,3955,18
19,1.016E-6,0,0,0,2054,4091,19
20,0.162,0,0,0,2054,4217,20
21,1.016E-6,0,0,0,2058,4335,21
22,1.016E-6,0,0,0,2058,4589,22
23,0.904,0,0,0,2068,5517,23
24,0.856,0,0,0,2074,6297,24
25,0.703,0,0,0,2084,7093,25
26,0.018,0,0,0,2691,1431,26
27,0.004,0,0,0,2181,2102,27
28,0.009,0,0,0,2593,2002,28
29,0.010,0,0,0,2171,2232,29
30,0.009,0,0,0,2591,2004,30
31,0.020,0,0,0,2644,2546,31
32,0.010,0,0,0,2230,2967,32
33,0.014,0,0,0,2656,2819,33
34,0.007,0,0,0,2960,2785,34
35,0.018,0,0,0,2795,2999,35
36,0.031,0,0,0,2939,3001,36
37,0.012,0,0,0,2563,3165,37
38,0.008,0,0,0,2047,3679,38
39,0.020,0,0,0,3011,3511,39
40,0.011,0,0,0,2051,3809,40
41,0.004,0,0,0,2059,4075,41
42,0.008,0,0,0,2183,3881,42
43,0.014,0,0,0,2615,3673,43
44,0.015,0,0,0,3007,3643,44
45,0.019,0,0,0,2051,4081,45
46,0.009,0,0,0,2373,4053,46
47,0.010,0,0,0,2549,3997,47
48,0.007,0,0,0,2667,3959,48
49,0.003,0,0,0,2799,3931,49
50,0.019,0,0,0,3031,3901,50
51,0.025,0,0,0,2055,4329,51
52,0.078,0,0,0,2395,4161,52
53,0.006,0,0,0,2189,4371,53
54,0.137,0,0,0,2199,4233,54
