Area;X;Y;Polygon-Nr;Year
0.018;2691;1431;26;2019
0.004;2181;2102;27;2016
0.009;2593;2002;28;2016
0.010;2171;2232;29;2015
0.009;2591;2004;30;2015
0.020;2644;2546;31;2012
0.010;2230;2967;32;2011
0.014;2656;2819;33;2011
0.007;2960;2785;34;2011
0.018;2795;2999;35;2009
0.031;2939;3001;36;2009
0.012;2563;3165;37;2009
0.008;2047;3679;38;2007
0.020;3011;3511;39;2006
0.011;2051;3809;40;2006
0.004;2059;4075;41;2005
0.008;2183;3881;42;2005
0.014;2615;3673;43;2005
0.015;3007;3643;44;2005
0.019;2051;4081;45;2004
0.009;2373;4053;46;2004
0.010;2549;3997;47;2004
0.007;2667;3959;48;2004
0.003;2799;3931;49;2004
0.019;3031;3901;50;2004
0.025;2055;4329;51;2003
0.078;2395;4161;52;2003
0.006;2189;4371;53;2002
0.137;2199;4233;54;2002
