Area;X;Y;Polygon-Nr;Year
0.105;2101;995;1;2023
0.132;2113;1211;2;2022
0.169;2134;1400;3;2021
0.129;2134;1571;4;2020
0.117;2149;1751;5;2019
0.090;2374;1643;6;2018
0.192;2521;1970;7;2017
0.118;2314;2207;8;2016
0.189;2392;2411;9;2015
0.160;2473;2543;10;2014
0.106;2308;2741;11;2013
0.177;2206;2963;12;2012
0.207;2608;2864;13;2011
0.147;2520;3336;14;2010
0.131;2252;3632;15;2009
0.277;2524;3500;16;2008
0.261;2500;3836;17;2007
0.325;2300;4600;18;2006
0.185;2316;5052;19;2005
0.150;2328;5196;20;2004
0.177;2336;5444;21;2003
0.126;2340;5648;22;2002
0.210;2364;5876;23;2001
0.185;2522;5961;24;2000
0.101;2520;6063;25;1999
0.144;2576;6249;26;1998
0.106;2578;6425;27;1997
0.244;2426;6957;28;1996
