Area;X;Y;Polygon-Nr;Year
0.005;2594;1283;29;2020
0.003;2837;2000;30;2016
0.002;2372;2189;31;2015
0.011;2849;2012;32;2015
0.003;3197;1973;33;2015
0.021;3311;2231;34;2014
0.006;3179;2306;35;2014
0.009;3032;2282;36;2014
0.006;2840;2369;37;2014
0.011;2648;2336;38;2014
0.008;2288;2717;39;2013
0.001;2342;2708;40;2013
0.005;2498;2666;41;2013
0.010;2386;2905;42;2012
0.018;2622;2659;43;2012
0.031;2916;2591;44;2012
0.023;3254;2555;45;2012
0.016;3438;2571;46;2012
0.069;2562;2886;47;2011
0.014;2340;3238;48;2010
0.019;2480;3176;49;2010
0.014;2766;3100;50;2010
0.004;3304;3044;51;2010
0.007;3462;3036;52;2010
0.010;2430;3404;53;2009
0.007;2853;3254;54;2009
0.019;3333;3221;55;2009
0.047;2409;3569;56;2008
0.026;2643;3497;57;2008
0.010;2877;3419;58;2008
0.082;3357;3365;59;2008
0.006;2358;3908;60;2007
0.015;2565;3839;61;2007
0.083;2598;3842;62;2007
0.032;3222;3767;63;2007
0.113;2508;4200;64;2006
0.078;3519;4032;65;2006
0.065;2313;4797;66;2005
0.006;2334;5043;67;2004
0.102;2577;4776;68;2004
0.120;2337;5193;69;2003
0.050;2337;5430;70;2002
0.116;2637;5655;71;2001
0.163;2373;6045;72;2000
0.017;2370;6036;73;1999
0.016;2979;5721;74;1999
0.019;3228;5712;75;1999
