Area;X;Y;Polygon-Nr;Year
0.541;2964;482;1;2023
0.556;2916;1384;2;2022
0.634;2892;1872;3;2021
0.609;2860;2342;4;2020
0.438;2836;2744;5;2019
0.408;2810;3090;6;2018
0.261;2802;3282;7;2017
0.229;2796;3432;8;2016
0.211;2786;3624;9;2015
0.199;2772;3824;10;2014
0.192;2756;3942;11;2013
0.337;2736;4312;12;2012
0.192;2732;4462;13;2011
0.173;2724;4628;14;2010
0.264;2708;4872;15;2009
0.222;2702;5030;16;2008
0.206;2696;5196;17;2007
0.267;2653;5715;18;2006
0.232;2641;5935;19;2005
0.205;2631;6113;20;2004
0.190;2635;6255;21;2003
0.126;2617;6359;22;2002
0.130;2613;6473;23;2001
0.185;2597;6637;24;2000
0.230;2589;6849;25;1999
0.266;2575;7061;26;1998
0.351;2551;7373;27;1997
0.462;2535;7699;28;1996
