 ,Area,Mean,StdDev,Mode,X,Y,Polygon-Nr
1,0.541,0,0,0,2964,482,1
2,0.556,0,0,0,2916,1384,2
3,0.634,0,0,0,2892,1872,3
4,0.609,0,0,0,2860,2342,4
5,0.438,0,0,0,2836,2744,5
6,0.408,0,0,0,2810,3090,6
7,0.261,0,0,0,2802,3282,7
8,0.229,0,0,0,2796,3432,8
9,0.211,0,0,0,2786,3624,9
10,0.199,0,0,0,2772,3824,10
11,0.192,0,0,0,2756,3942,11
12,0.337,0,0,0,2736,4312,12
13,0.192,0,0,0,2732,4462,13
14,1.445E-6,0,0,0,2724,4628,14
15,0.264,0,0,0,2708,4872,15
16,1.445E-6,0,0,0,2702,5030,16
17,0.206,0,0,0,2696,5196,17
18,0.267,0,0,0,2653,5715,18
19,0.232,0,0,0,2641,5935,19
20,0.205,0,0,0,2631,6113,20
21,0.190,0,0,0,2635,6255,21
22,0.126,0,0,0,2617,6359,22
23,0.130,0,0,0,2613,6473,23
24,0.185,0,0,0,2597,6637,24
25,0.230,0,0,0,2589,6849,25
26,0.266,0,0,0,2575,7061,26
27,0.351,0,0,0,2551,7373,27
28,0.462,0,0,0,2535,7699,28
29,0.525,0,0,0,2948,927,29
30,0.545,0,0,0,2927,1365,30
31,0.626,0,0,0,2888,1914,31
32,0.599,0,0,0,2858,2331,32
33,0.348,0,0,0,2837,2721,33
34,0.193,0,0,0,2819,3090,34
35,0.032,0,0,0,3665,2607,35
36,0.152,0,0,0,2828,3125,36
37,0.025,0,0,0,3632,3145,37
38,0.076,0,0,0,2802,3425,38
39,0.053,0,0,0,3376,3151,39
40,0.120,0,0,0,3052,3385,40
41,0.009,0,0,0,3626,3421,41
42,0.019,0,0,0,2962,3563,42
43,0.036,0,0,0,3208,3533,43
44,0.024,0,0,0,3416,3553,44
45,0.141,0,0,0,2736,4291,45
46,0.186,0,0,0,2736,4443,46
47,0.224,0,0,0,2724,4615,47
48,0.249,0,0,0,2734,4737,48
49,0.081,0,0,0,2702,5027,49
50,0.107,0,0,0,3150,4819,50
51,0.088,0,0,0,2696,5189,51
52,0.078,0,0,0,3220,4995,52
53,0.315,0,0,0,2684,5281,53
54,0.167,0,0,0,2697,5593,54
55,0.116,0,0,0,2647,5933,55
56,0.055,0,0,0,3337,5665,56
57,0.041,0,0,0,2797,6046,57
58,1.445E-6,0,0,0,3015,5840,58
59,0.076,0,0,0,3173,5820,59
60,0.039,0,0,0,2633,6248,60
61,0.033,0,0,0,3297,6004,61
62,0.063,0,0,0,2628,6345,62
63,0.031,0,0,0,3262,6177,63
64,0.120,0,0,0,2618,6459,64
65,0.111,0,0,0,2614,6586,65
66,0.035,0,0,0,3438,6424,66
67,0.217,0,0,0,2594,6838,67
68,0.246,0,0,0,2588,7008,68
69,0.325,0,0,0,2563,7351,69
70,0.445,0,0,0,2541,7700,70
