Area;X;Y;Polygon-Nr;Year
0.525;2948;927;29;2023
0.545;2927;1365;30;2022
0.626;2888;1914;31;2021
0.599;2858;2331;32;2020
0.348;2837;2721;33;2019
0.193;2819;3090;34;2018
0.032;3665;2607;35;2018
0.152;2828;3125;36;2017
0.025;3632;3145;37;2017
0.076;2802;3425;38;2016
0.053;3376;3151;39;2016
0.120;3052;3385;40;2015
0.009;3626;3421;41;2015
0.019;2962;3563;42;2014
0.036;3208;3533;43;2014
0.024;3416;3553;44;2014
0.141;2736;4291;45;2013
0.186;2736;4443;46;2012
0.224;2724;4615;47;2011
0.249;2734;4737;48;2010
0.081;2702;5027;49;2009
0.107;3150;4819;50;2009
0.088;2696;5189;51;2008
0.078;3220;4995;52;2008
0.315;2684;5281;53;2007
0.167;2697;5593;54;2006
0.116;2647;5933;55;2005
0.055;3337;5665;56;2005
0.041;2797;6046;57;2004
0.045;3015;5840;58;2004
0.076;3173;5820;59;2004
0.039;2633;6248;60;2003
0.033;3297;6004;61;2003
0.063;2628;6345;62;2002
0.031;3262;6177;63;2002
0.120;2618;6459;64;2001
0.111;2614;6586;65;2000
0.035;3438;6424;66;2000
0.217;2594;6838;67;1999
0.246;2588;7008;68;1998
0.325;2563;7351;69;1997
0.445;2541;7700;70;1996
