Area;X;Y;Polygon-Nr;Year
0.554;2607;1368;1;2023
0.359;2603;1730;2;2022
0.256;2601;1996;3;2021
0.317;2597;2306;4;2020
0.153;2595;2424;5;2019
0.189;2595;2608;6;2018
0.229;2591;2846;7;2017
0.133;2589;2944;8;2016
0.208;2587;3200;9;2015
0.164;2585;3354;10;2014
0.161;2585;3542;11;2013
0.169;2577;3738;12;2012
0.334;2575;4080;13;2011
0.291;2579;4390;14;2010
0.241;2579;4652;15;2009
0.137;2569;4796;16;2008
0.305;2565;5178;17;2007
0.319;2563;5480;18;2006
0.277;2551;5852;19;2005
0.119;2553;5966;20;2004
0.289;2549;6188;21;2003
0.354;2545;6508;22;2002
0.144;2549;6654;23;2001
0.151;2543;6842;24;2000
0.205;2543;7022;25;1999
0.265;2541;7244;26;1998
