Area;X;Y;Polygon-Nr;Year
0.060;3066;680;27;2023
0.068;3201;854;28;2023
0.045;2601;1370;29;2022
0.028;3141;1259;30;2022
0.041;3528;1235;31;2022
0.017;2726;1672;32;2021
0.021;2938;1610;33;2021
0.009;3028;1606;34;2021
0.004;3160;1604;35;2021
0.006;3166;1686;36;2021
0.013;3268;1604;37;2021
0.011;3406;1630;38;2021
0.010;3448;1732;39;2021
0.001;2677;1997;40;2020
0.007;2773;1917;41;2020
0.023;3013;1935;42;2020
0.006;3133;1855;43;2020
0.016;3227;2019;44;2020
0.026;3317;2003;45;2020
0.042;3439;2191;46;2020
0.016;3007;2171;47;2019
0.013;3065;2193;48;2019
0.027;3291;2175;49;2019
0.022;2923;2341;50;2018
0.053;3157;2335;51;2018
0.011;3519;2391;52;2018
0.028;3066;2494;53;2017
0.034;3336;2566;54;2017
0.009;3262;2784;55;2016
0.011;3356;2810;56;2016
0.021;2618;2956;57;2015
0.088;3080;2914;58;2015
0.044;3152;3092;59;2014
0.101;2586;3536;60;2013
0.013;2586;3658;61;2012
0.114;2866;3438;62;2012
0.004;2690;3756;63;2011
0.220;2738;3740;64;2011
0.023;2782;3970;65;2010
0.119;2568;4346;66;2010
0.014;3356;3966;67;2010
0.028;3572;4054;68;2010
0.020;3182;4204;69;2010
0.030;2571;4656;70;2009
0.012;2861;4272;71;2009
0.028;3115;4216;72;2009
0.035;3211;4222;73;2009
0.012;3045;4480;74;2009
0.013;3545;4492;75;2009
0.134;2571;4790;76;2008
0.178;2645;4760;77;2007
0.065;2571;5200;78;2006
0.013;2991;4914;79;2006
0.041;3285;4880;80;2006
0.017;3371;5004;81;2006
0.040;3455;4918;82;2006
0.096;2642;5763;83;2005
0.063;3228;5457;84;2005
0.010;3214;5217;85;2005
0.018;2557;5954;86;2004
0.009;2861;5560;87;2004
0.012;3153;5512;88;2004
0.010;3263;5464;89;2004
0.062;2554;6172;90;2003
0.012;3042;5616;91;2003
0.076;3274;5586;92;2003
0.011;3320;5906;93;2003
0.107;2553;6201;94;2002
0.037;3233;5911;95;2002
0.001;3549;5969;96;2002
0.027;3015;6283;97;2001
0.022;3407;6295;98;2001
0.010;2552;6699;99;2000
0.176;2554;6897;100;1999
0.030;2654;6937;101;1998
0.007;2910;6833;102;1998
0.025;3188;6793;103;1998
0.015;3488;6823;104;1998
